==============================================================================================================
RANDOM FOREST PERFORMANCE BY COUNTRY (F1-Optimized)
==============================================================================================================

       Country  N (Test)   AUC  AUC 2.5%  AUC 97.5%  Best F1 Cutoff  Accuracy  Precision  Recall  F1 Score  Sensitivity  Specificity
1        Kenya      3399 0.814     0.791      0.838           0.237     0.851      0.239   0.525     0.328        0.525        0.875
9       Brundi      1239 0.739     0.662      0.808           0.325     0.948      0.457   0.262     0.333        0.262        0.984
2       Zambia      1714 0.690     0.633      0.745           0.133     0.820      0.097   0.378     0.154        0.378        0.840
0     Ethiopia      1860 0.689     0.658      0.722           0.128     0.514      0.180   0.860     0.297        0.860        0.467
4   Mozambique       773 0.686     0.591      0.779           0.163     0.895      0.130   0.300     0.182        0.300        0.919
7       Uganda       878 0.675     0.576      0.771           0.232     0.934      0.152   0.143     0.147        0.143        0.967
10  Madagascar      1110 0.647     0.586      0.708           0.138     0.733      0.149   0.500     0.229        0.500        0.753
5       Rwanda       695 0.637     0.387      0.859           0.148     0.970      0.133   0.200     0.160        0.200        0.981
3      Comoros       487 0.635     0.572      0.691           0.128     0.501      0.165   0.821     0.275        0.821        0.459
8     Zimbabwe      1024 0.615     0.536      0.690           0.059     0.570      0.062   0.651     0.113        0.651        0.567
11      Malawi      1059 0.571     0.475      0.664           0.079     0.669      0.045   0.533     0.084        0.533        0.672
6     Tanzania      1007 0.558     0.461      0.660           0.153     0.883      0.095   0.220     0.132        0.220        0.911

==============================================================================================================
